Name,Ticker,Sector,Industry,Country
IQVIA HOLDINGS INC,IQV,Healthcare,Diagnostics & Research,United States
CROWN CASTLE INC,CCI,Real Estate,REIT - Specialty,United States
CENTENE CORP,CNC,Healthcare,Healthcare Plans,United States
ROPER TECHNOLOGIES INC,ROP,Technology,Software - Application,United States
QNITY ELECTRONICS INC,Q,Technology,Semiconductor Equipment & Materials,United States
PAYCHEX INC,PAYX,Technology,Software - Application,United States
ARCH CAPITAL GROUP LTD,ACGL,Financial Services,Insurance - Diversified,Bermuda
OCCIDENTAL PETROLEUM CORP,OXY,Energy,Oil & Gas E&P,United States
TWILIO INC   A,TWLO,Technology,Software - Infrastructure,United States
DTE ENERGY COMPANY,DTE,Utilities,Utilities - Regulated Electric,United States
NORTHERN TRUST CORP,NTRS,Financial Services,Asset Management,United States
BIOGEN INC,BIIB,Healthcare,Drug Manufacturers - General,United States
GE HEALTHCARE TECHNOLOGY,GEHC,Healthcare,Medical Devices,United States
EXTRA SPACE STORAGE INC,EXR,Real Estate,REIT - Industrial,United States
TELEDYNE TECHNOLOGIES INC,TDY,Technology,Scientific & Technical Instruments,United States
CARPENTER TECHNOLOGY,CRS,Industrials,Metal Fabrication,United States
DIAMONDBACK ENERGY INC,FANG,Energy,Oil & Gas E&P,United States
NETAPP INC,NTAP,Technology,Software - Infrastructure,United States
FAIR ISAAC CORP,FICO,Technology,Software - Application,United States
EQT CORP,EQT,Energy,Oil & Gas E&P,United States
RESMED INC,RMD,Healthcare,Medical Instruments & Supplies,United States
KROGER CO,KR,Consumer Defensive,Grocery Stores,United States
ILLUMINA INC,ILMN,Healthcare,Diagnostics & Research,United States
EXPEDIA GROUP INC,EXPE,Consumer Cyclical,Travel Services,United States
ZOETIS INC,ZTS,Healthcare,Drug Manufacturers - Specialty & Generic,United States
CURTISS WRIGHT CORP,CW,Industrials,Aerospace & Defense,United States
PPG INDUSTRIES INC,PPG,Basic Materials,Specialty Chemicals,United States
CINCINNATI FINANCIAL CORP,CINF,Financial Services,Insurance - Property & Casualty,United States
CENTERPOINT ENERGY INC,CNP,Utilities,Utilities - Regulated Electric,United States
AMEREN CORPORATION,AEE,Utilities,Utilities - Regulated Electric,United States
XYLEM INC,XYL,Industrials,Specialty Industrial Machinery,United States
DOVER CORP,DOV,Industrials,Specialty Industrial Machinery,United States
CITIZENS FINANCIAL GROUP,CFG,Financial Services,Banks - Regional,United States
STEEL DYNAMICS INC,STLD,Basic Materials,Steel,United States
EDISON INTERNATIONAL,EIX,Utilities,Utilities - Regulated Electric,United States
WORKDAY INC CLASS A,WDAY,Technology,Software - Application,United States
FISERV INC,FISV,Technology,Information Technology Services,United States
INGERSOLL RAND INC,IR,Industrials,Specialty Industrial Machinery,United States
VEEVA SYSTEMS INC CLASS A,VEEV,Healthcare,Health Information Services,United States
WEST PHARMACEUTICAL SERVICES,WST,Healthcare,Medical Instruments & Supplies,United States
TAPESTRY INC,TPR,Consumer Cyclical,Luxury Goods,United States
TECHNIPFMC PLC,FTI,Energy,Oil & Gas Equipment & Services,United States
PPL CORP,PPL,Utilities,Utilities - Regulated Electric,United States
CBOE GLOBAL MARKETS INC,CBOE,Financial Services,Financial Data & Stock Exchanges,United States
VICI PROPERTIES INC,VICI,Real Estate,REIT - Diversified,United States
NRG ENERGY INC,NRG,Utilities,Utilities - Independent Power Producers,United States
HUBBELL INC,HUBB,Industrials,Electrical Equipment & Parts,United States
DEXCOM INC,DXCM,Healthcare,Medical Devices,United States
LIVE NATION ENTERTAINMENT IN,LYV,Communication Services,Entertainment,United States
CASEY S GENERAL STORES INC,CASY,Consumer Cyclical,Specialty Retail,United States
METTLER TOLEDO INTERNATIONAL,MTD,Healthcare,Diagnostics & Research,United States
HERSHEY CO/THE,HSY,Consumer Defensive,Confectioners,United States
AVALONBAY COMMUNITIES INC,AVB,Real Estate,REIT - Residential,United States
RAYMOND JAMES FINANCIAL INC,RJF,Financial Services,Asset Management,United States
T ROWE PRICE GROUP INC,TROW,Financial Services,Asset Management,United States
ATMOS ENERGY CORP,ATO,Utilities,Utilities - Regulated Gas,United States
NVENT ELECTRIC PLC,NVT,Industrials,Electrical Equipment & Parts,United Kingdom
AMERICAN WATER WORKS CO INC,AWK,Utilities,Utilities - Regulated Water,United States
OTIS WORLDWIDE CORP,OTIS,Industrials,Specialty Industrial Machinery,United States
WILLIAMS SONOMA INC,WSM,Consumer Cyclical,Specialty Retail,United States
REGIONS FINANCIAL CORP,RF,Financial Services,Banks - Regional,United States
DOLLAR GENERAL CORP,DG,Consumer Defensive,Discount Stores,United States
ATI INC,ATI,Industrials,Metal Fabrication,United States
HALLIBURTON CO,HAL,Energy,Oil & Gas Equipment & Services,United States
WILLIS TOWERS WATSON PLC,WTW,Financial Services,Insurance Brokers,United Kingdom
COPART INC,CPRT,Industrials,Specialty Business Services,United States
FIRST SOLAR INC,FSLR,Technology,Solar,United States
ENTEGRIS INC,ENTG,Technology,Semiconductor Equipment & Materials,United States
EVERSOURCE ENERGY,ES,Utilities,Utilities - Regulated Electric,United States
WOODWARD INC,WWD,Industrials,Aerospace & Defense,United States
UNITED THERAPEUTICS CORP,UTHR,Healthcare,Drug Manufacturers - Specialty & Generic,United States
PULTEGROUP INC,PHM,Consumer Cyclical,Residential Construction,United States
FIRSTENERGY CORP,FE,Utilities,Utilities - Regulated Electric,United States
DARDEN RESTAURANTS INC,DRI,Consumer Cyclical,Restaurants,United States
XPO INC,XPO,Industrials,Trucking,United States
LABCORP HOLDINGS INC,LH,Healthcare,Diagnostics & Research,United States
QUEST DIAGNOSTICS INC,DGX,Healthcare,Diagnostics & Research,United States
MODERNA INC,MRNA,Healthcare,Biotechnology,United States
CHURCH + DWIGHT CO INC,CHD,Consumer Defensive,Household & Personal Products,United States
SOUTHWEST AIRLINES CO,LUV,Industrials,Airlines,United States
EQUITY RESIDENTIAL,EQR,Real Estate,REIT - Residential,United States
SYNCHRONY FINANCIAL,SYF,Financial Services,Credit Services,United States
ARES MANAGEMENT CORP   A,ARES,Financial Services,Asset Management,United States
MASTEC INC,MTZ,Industrials,Engineering & Construction,United States
EVERPURE INC A,P,Technology,Computer Hardware,United States
TEXAS PACIFIC LAND CORP,TPL,Energy,Oil & Gas E&P,United States
OKTA INC,OKTA,Technology,Software - Infrastructure,United States
SMURFIT WESTROCK PLC,SW,Consumer Cyclical,Packaging & Containers,Ireland
MKS INC,MKSI,Technology,Scientific & Technical Instruments,United States
CORPAY INC,CPAY,Technology,Software - Infrastructure,United States
C.H. ROBINSON WORLDWIDE INC,CHRW,Industrials,Integrated Freight & Logistics,United States
KEYCORP,KEY,Financial Services,Banks - Regional,United States
PACKAGING CORP OF AMERICA,PKG,Consumer Cyclical,Packaging & Containers,United States
SNAP ON INC,SNA,Industrials,Tools & Accessories,United States
CMS ENERGY CORP,CMS,Utilities,Utilities - Regulated Electric,United States
VERISK ANALYTICS INC,VRSK,Industrials,Consulting Services,United States
